#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
100,1490.7117752902313,1064.2887937674427,507.9544431428275
200,1844.1219509502448,1316.9722752742903,628.5530042587943
300,1878.40225000616,1555.9388201933648,742.6048659010185
400,2057.7921986004167,1560.9426806628894,744.9930646429824
500,2026.0021345377559,1422.704733397928,679.0160667309624
600,2153.513116987302,1419.7116665517665,677.5875619754538
700,1906.8917748322556,1505.0218957743602,718.3036817287718
800,1944.6447710498078,1354.8144845875202,646.6140028068972
900,2057.0441525373717,1480.6489281319496,706.6711649917365
1000,1814.60827945533,1567.340569159784,748.0465928843407
1100,2155.996039466489,1179.7097765065287,563.0415598705088
1200,1936.697457459064,1543.8731605229289,736.8462734259892
1300,1955.0675204662193,1354.5884286131288,646.5061127893913
1400,2102.7372732742497,1298.6366402777346,619.8019328213358
1500,1984.2463464964012,1578.2278929656368,753.2427995281607
1600,2136.979223294437,1549.0540621036428,739.3189688004219
1700,2008.984913997132,1593.6088009336386,760.5836647027917
1800,2024.6566688756097,1448.1047057679395,691.1387432982698
1900,1922.0383988863186,1561.3280966880054,745.177012631125
2000,2048.7428276859714,1369.7685921131072,653.7511684008041
2100,1991.1469102742076,1421.4525253752659,678.418423842514
2200,1947.336048360457,1576.665452900353,752.4970918048879
2300,2229.4610771169237,1382.7570903578464,659.9502051958957
2400,2030.7372824830709,1494.8530923416567,713.450404201717
2500,2030.7082208046104,1379.7824476013432,658.5304937286917
2600,2121.3899923834388,1258.7082333492008,600.745252129276
2700,2163.360182773843,1458.692670766778,696.1920745900168
2800,2125.7985496863175,1620.5924979312242,773.4622075030258
2900,2009.9438104388705,1433.3770365101257,684.1096501795093
3000,1956.9551079432686,1513.9570260391351,722.5681625206687
3100,1883.0590198502969,1605.5164277414092,766.2668326358888
3200,2024.6987493256856,1361.4688988203138,649.7899634069288
3300,1996.7029742370246,1473.5707069611021,703.2929335245495
3400,1966.4146260109756,1523.490766626773,727.1183428097228
3500,2182.3457235480037,1263.8496294466968,603.1990926723447
3600,2120.417405585041,1274.9315787468843,608.4881884691607
