#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
5,6271.294160418224,5658.866305052473,2700.8141959547233
10,5445.068940496387,6204.270381857483,2961.119881539019
15,5609.11966800491,5558.773101116577,2653.042587378763
20,5056.386154159765,5691.415097964773,2716.3487990394865
25,4607.5307929971705,5766.176973255846,2752.030492724677
30,5885.920865786018,4109.725342224952,1961.4537519371756
35,5600.872823699601,4143.320152599804,1977.48758908399
40,4714.372146371483,4732.458778353248,2258.6665175205053
45,4205.297452950418,4954.323387275538,2364.5561167892247
50,5046.523303641987,3860.040658552138,1842.2864308124635
55,3915.7712534465145,4702.958632833062,2244.5869461879033
60,4535.259913862479,3790.664126985593,1809.1750068592717
65,3859.5990597727973,4162.428939009452,1986.6076634629455
70,4717.3258239211555,3001.6202090586344,1432.587029711594
75,3934.7142930008295,3634.5416857891555,1734.6622541699262
80,4910.1925770643265,2540.5824579857626,1212.5469658816876
85,3974.8739380122465,3375.846233363549,1611.19435217758
90,3946.3698480223393,3246.37378500496,1549.4008748869642
95,4172.5222069979045,2741.6579537001962,1308.5145190997769
100,3776.3986633086906,3018.076864663825,1440.4413183058928
105,3830.720395989674,2799.275649855435,1336.013788975677
110,3775.9253340690852,2811.2242286192263,1341.7165021000208
115,3862.5631490438755,2636.7469658096397,1258.4435207527288
120,3811.3366600297404,2474.550870048117,1181.031987356007
125,3800.793961650547,2450.6385896279494,1169.619343385469
130,3569.440838269111,2581.7835951289703,1232.2110841144333
135,3689.3536070030063,2476.8254219732366,1182.1175655968846
140,3633.842381353319,2375.311218130196,1133.6677546187502
145,3575.8980458731617,2264.8795641897273,1080.9619010842916
150,3465.696285298614,2282.3395627291334,1089.2950564151527
155,3332.7898710546046,2340.2250088307483,1116.9221156426922
160,3374.2385915686,2119.852591273857,1011.7446964124292
165,3049.610007784634,2344.078045925836,1118.7610594740142
170,3202.7632534460586,2169.196726448655,1035.2952334958402
175,3163.2569197465737,2165.969221435166,1033.7548381431238
180,3257.875144925626,2033.7433162876619,970.6472150885744
