#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
100,1112.1047575186753,645.8678198124803,271.13453310700885
200,1258.0822057280975,651.9874618841841,273.70355148042023
300,1197.0576056300974,720.8077488786533,302.5942250983648
400,1237.401502903051,780.5767360060366,327.68517393022785
500,1230.805123621551,706.6052003735015,296.6320123363293
600,1238.0631590773378,773.6874204909652,324.7930475720078
700,1265.381752641731,649.7142564656434,272.7492625827457
800,1241.9063174893654,644.098848478061,270.39192107073075
900,1256.035880490976,737.230232527783,309.4883639609529
1000,1254.125151811726,673.3470263831862,282.6702709393452
1100,1230.8279687166673,701.6841220830474,294.5661495951686
1200,1335.8399950927833,744.6566286864214,312.60595612667606
1300,1311.29732238513,728.825002857269,305.9598586654984
1400,1273.5056279017117,700.4093228885507,294.03099042822726
1500,1205.4860970747222,723.5903278456375,303.76234839837014
1600,1247.7088914662709,760.4336793848803,319.22914301369923
1700,1346.5004595572418,704.6565103223958,295.8139545991746
1800,1213.1179873573478,665.6749627832714,279.44954787756745
1900,1196.6379759384781,682.4625489249056,286.4969563269111
2000,1239.6589195666957,688.0878006985886,288.8584302484787
2100,1221.8061142967204,720.7989536520926,302.5905328728444
2200,1287.6722156611322,718.3501182599142,301.56251472370207
2300,1298.692783383819,624.3773813357864,262.1128729098263
2400,1226.9970840975138,704.5203815127767,295.756807888801
2500,1325.201782680209,638.446835030933,268.019212630873
2600,1352.297849522909,721.4871914631816,302.87945427727414
2700,1294.685882108016,839.0232254405223,352.2209398229517
2800,1341.9229163229825,640.3632407438309,268.8237174417197
2900,1226.826699048052,699.9232448915916,293.82693547036087
3000,1214.436583922889,684.0904712239457,287.18035614796565
3100,1237.0092487352094,652.0306442252647,273.7216793752127
3200,1239.203909332526,655.9038695159618,275.3476546887316
3300,1299.3175058301686,678.3972789239352,284.79036087524884
3400,1312.3775323602667,731.8235185891842,307.21863195942547
3500,1365.8009641551985,661.2792129077834,277.60421737249334
3600,1339.2463647181385,716.4455529819297,300.76298051317576
3700,1305.428621134955,758.5058085768785,318.4198251697324
3800,1302.1887139425949,676.3614326542593,283.93571506247787
3900,1260.6552325821153,634.0145241779563,266.15853387147007
4000,1252.2749494696427,676.687902692515,284.0727667914548
4100,1239.2778516538774,646.8903403306708,271.5637859893903
4200,1285.0663290173766,714.9778268176843,300.14683083662555
4300,1335.4542225952064,755.0536312216459,316.9706052725631
4400,1304.3843768950596,729.5167250452048,306.2502428071331
4500,1200.008043898155,704.7450671492957,295.8511306484813
4600,1266.5515931355062,734.5891462383613,308.37963911662547
4700,1259.1429627506013,643.4410815196211,270.11579129355493
4800,1227.7095699897695,726.0686171053513,304.80273124564025
4900,1364.0147782787453,683.848135504724,287.07862390481813
5000,1283.0478307811022,744.1773703671838,312.404764061306
5100,1271.0872765620943,684.7641688750366,287.46317361073517
5200,1305.1572461670826,680.6681795122545,285.7436822079716
